ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry
1,2011,Interdisciplinary,Interdisciplinary,,,,,Capgemini Consulting,Apprentice Knowledge Worker,Business Consulting,Business Consulting
2,2011,Interdisciplinary,Interdisciplinary,,,,,Cycle.land,Founder,Business,
3,2008,Anthropology,Social Sciences,,,,,Public Radio Remix from PRX,Radio Producer,Media,Media
4,2012,Anthropology,Social Sciences,,,,,Chemonics International,UK Division Operations & Program Mgmt. Asst.,Consulting,
5,2009,Anthropology,Social Sciences,,,,,Design Central,"Anthropologist, Research and Strategy",Research,Research
6,2009,Anthropology,Social Sciences,,,,,Self-Employed Private Practice,LICSW,Healthcare,Healthcare
7,2013,Anthropology,Social Sciences,,,,,Rachel's Maid for You,Founder,Services,
8,2002,Anthropology,Social Sciences,,,,,"MAC, Rebellion Films",,Entertainment,Entertainment
9,2014,Anthropology,Social Sciences,,,,,Paul Smith's College,Assoc. Dir. of International & Veteran Admissions,Education,
10,2014,Anthropology,Social Sciences,,,,,Panamerican Consultants,Field Technician,Antiques,Antiques
11,2015,Anthropology,Social Sciences,,,,,Archaelogical Consultants Inc.,Field Technician,Antiques,Antiques
12,2011,Anthropology,Social Sciences,,,,,HearUSA,Audiologist,Medical,
13,2015,Anthropology,Social Sciences,,,,,eMindful Inc.,Sales and Marketing,Health Care Consulting,Health Care Consulting
14,2013,Anthropology,Social Sciences,,,,,National Park Service/Student Conservation Assoc,Cultural Resources and Park Planning,Government,Government
15,2015,Anthropology,Social Sciences,,,,,The Tides Restaurant,Busser,Food and Lodging,Food and Lodging
16,2013,Anthropology,Social Sciences,,,,,Need a Ride Pedicabs,Driver / Operator,Transportation,Transportation
17,2013,Anthropology,Social Sciences,,,,,Self Employed,"Write food/drink editorials, try to get them publ",Journalism,Journalism
18,2010,Anthropology,Social Sciences,,,,,U. of Florida,Instructor,Education,Education
19,2006,Anthropology,Social Sciences,,,,,Unknown,Tea Specialist,Food,Food
