ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry
889,2013,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,Spanish Language and Literature,Humanities,Voice of America,Program Coordinator,
890,2020,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,Spanish Language and Literature,Humanities,Multicultural Health Institute,Latine COVID Outreach Coordinator,Public Health
893,2011,Political Science,Social Sciences,Anthropology,Social Sciences,,,South Asia Institute at Columbia University,Administrative Assistant,Education
67,2007,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,,,DanceSafe,Executive Director,Non Profit
688,2018,Literature,Humanities,Anthropology,Social Sciences,,,Sarasota Contemporary Dance,General Manager,Performing Arts
80,2003,Political Science,Social Sciences,Anthropology,Social Sciences,,,Dakota Lithium Batteries,CEO,
68,2006,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,,,BizBuySell,Sales,Retail
488,2015,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,,,Orlando Science Center,Educator,Education
487,2014,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,,,PhD Candidate in Anthropology,,Education
66,2006,Classics,Humanities,Anthropology,Social Sciences,,,ETSU Museum Studies,Education Coordinator,Education
735,2015,Medieval & Renaissance Studies,Interdisciplinary,Anthropology,Social Sciences,,,LVVS,Assistant,Medicine
69,2014,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,,,Colorado Sun,Politics Reporter,
81,2003,Humanities,Humanities,Anthropology,Social Sciences,,,U.S. Department of State,Program Analyst,Government
88,2016,Biology,Natural Sciences,Applied Mathematics,Natural Sciences,,,Sage Renewable Energy Consulting,Associate,Services
89,2011,Biology,Natural Sciences,Applied Mathematics,Natural Sciences,,,Navy Medical Research Center,Research Associate,
92,2013,Music,Humanities,Applied Mathematics,Natural Sciences,,,PharmaCline,Math Modeller,Medical
332,2018,Computer Science,Natural Sciences,Applied Mathematics,Natural Sciences,,,Vision Systems Inc.,Research Engineer,
90,2012,Computer Science,Natural Sciences,Applied Mathematics,Natural Sciences,,,Google,Software Engineer,Software
1015,2020,Psychology,Social Sciences,Applied Mathematics,Natural Sciences,,,Energize Dance Studio,Owner/Director,
216,2011,Biology,Natural Sciences,Applied Mathematics,Natural Sciences,,,J. Gerard Correa Law Offices,Researcher,Law
449,2011,Environmental Studies,Interdisciplinary,Art,Humanities,,,Kendall Regional Medical Center,Emergency Medicine Resident,
114,2012,Art History,Humanities,Art,Humanities,,,Hunter College,College Assistant at Zabar Art Library,Education
64,2007,Anthropology,Social Sciences,Art,Humanities,,,Pretzel Lab,Lead Design Researcher,
126,2013,German Language and Literature,Humanities,Art History,Humanities,,,Crisis Action,HR Assistant,Non Profit
127,2019,International and Area Studies,Interdisciplinary,Art History,Humanities,,,J. Paul Getty Trust,"Graduate Intern, Digital & Print Publications",
134,2018,Art,Humanities,Art History,Humanities,,,Boston Tea Party Cafe,Team Member,
65,2002,Anthropology,Social Sciences,Art History,Humanities,,,USDA Natural Resources Conservation Service,Archaeologist/Cultural Resource Specialist,Environmental
135,2016,Art,Humanities,Art History,Humanities,,,TestMasters,,Educational Services
131,2010,Literature,Humanities,Art History,Humanities,,,"Jane Rotosen Agency, LLC",Rights Associate (Literary Agent),Publishing
430,2013,English,Humanities,Art History,Humanities,,,USF Health,Operations Manager,Education
133,2019,Art,Humanities,Art History,Humanities,,,Temple Beth Sholom,Youth Advisor,Religion
571,2012,History,Social Sciences,Biology,Natural Sciences,,,New Gate School,Teacher,Education
395,2005,Economics,Social Sciences,Biology,Natural Sciences,,,unknown,,
229,2018,Music,Humanities,Biology,Natural Sciences,,,Marie Selby Botanical Gardens,Manager of Horticultural Exhibitions,Farming
303,2015,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Starbucks,Barista,Food and Lodging
301,2015,Chemistry,Natural Sciences,Biology,Natural Sciences,,,"BDO, USA LLP",Tax Intern,Accounting
298,2014,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Unknown,,Education
296,2013,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Johns Hopkins All Childrens Hospital,NICU Registered Nurse,Healthcare
217,2015,Biopsychology,Interdisciplinary,Biology,Natural Sciences,,,Gateway Foundation,Substance Abuse Counselor,
292,2002,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Johns Hopkins Kimmel Cancer Center,Physcian,Medical
297,2015,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Whiting Petroleum Corporation,SCADA Systems Analyst II,
299,2014,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Knobbe Martens,Associate,
