ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry,Industry1,Industry2
1,2011,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Capgemini Consulting,Apprentice Knowledge Worker,Business Consulting,Business Consulting,"Business, Finance, and Retail","Business, Finance, and Retail"
2,2011,Interdisciplinary,Interdisciplinary,NA,NA,NA,NA,Cycle.land,Founder,Business,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
3,2008,Anthropology,Social Sciences,NA,NA,NA,NA,Public Radio Remix from PRX,Radio Producer,Media,Media,Arts and Media,Arts and Media
4,2012,Anthropology,Social Sciences,NA,NA,NA,NA,Chemonics International,UK Division Operations & Program Mgmt. Asst.,Consulting,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
5,2009,Anthropology,Social Sciences,NA,NA,NA,NA,Design Central,"Anthropologist, Research and Strategy",Research,Research,STEM,STEM
6,2009,Anthropology,Social Sciences,NA,NA,NA,NA,Self-Employed Private Practice,LICSW,Healthcare,Healthcare,Health and Medicine,Health and Medicine
7,2013,Anthropology,Social Sciences,NA,NA,NA,NA,Rachel's Maid for You,Founder,Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
8,2002,Anthropology,Social Sciences,NA,NA,NA,NA,"MAC, Rebellion Films",NA,Entertainment,Entertainment,Arts and Media,Arts and Media
9,2014,Anthropology,Social Sciences,NA,NA,NA,NA,Paul Smith's College,Assoc. Dir. of International & Veteran Admissions,Education,NA,Education,Education
10,2014,Anthropology,Social Sciences,NA,NA,NA,NA,Panamerican Consultants,Field Technician,Antiques,Antiques,Arts and Media,Arts and Media
11,2015,Anthropology,Social Sciences,NA,NA,NA,NA,Archaelogical Consultants Inc.,Field Technician,Antiques,Antiques,Arts and Media,Arts and Media
12,2011,Anthropology,Social Sciences,NA,NA,NA,NA,HearUSA,Audiologist,Medical,NA,Health and Medicine,Health and Medicine
13,2015,Anthropology,Social Sciences,NA,NA,NA,NA,eMindful Inc.,Sales and Marketing,Health Care Consulting,Health Care Consulting,"Business, Finance, and Retail","Business, Finance, and Retail"
14,2013,Anthropology,Social Sciences,NA,NA,NA,NA,National Park Service/Student Conservation Assoc,Cultural Resources and Park Planning,Government,Government,Government and Social Services,Government and Social Services
15,2015,Anthropology,Social Sciences,NA,NA,NA,NA,The Tides Restaurant,Busser,Food and Lodging,Food and Lodging,"Business, Finance, and Retail","Business, Finance, and Retail"
16,2013,Anthropology,Social Sciences,NA,NA,NA,NA,Need a Ride Pedicabs,Driver / Operator,Transportation,Transportation,"Business, Finance, and Retail","Business, Finance, and Retail"
17,2013,Anthropology,Social Sciences,NA,NA,NA,NA,Self Employed,"Write food/drink editorials, try to get them publ",Journalism,Journalism,Arts and Media,Arts and Media
18,2010,Anthropology,Social Sciences,NA,NA,NA,NA,U. of Florida,Instructor,Education,Education,Education,Education
19,2006,Anthropology,Social Sciences,NA,NA,NA,NA,Unknown,Tea Specialist,Food,Food,"Business, Finance, and Retail","Business, Finance, and Retail"
20,2007,Anthropology,Social Sciences,NA,NA,NA,NA,New College Child Care Center,Teacher,Education,Education,Education,Education
21,2012,Anthropology,Social Sciences,NA,NA,NA,NA,Hillsborough County Public Schools,Substitute Teacher,Education,Education,Education,Education
22,2005,Anthropology,Social Sciences,NA,NA,NA,NA,Alliance for a Healthier Generation,Healthy Out of School Time Manager,Education,Education,Education,Education
23,2013,Anthropology,Social Sciences,NA,NA,NA,NA,University of Arizona,Graduate Teahing Assistant / Resarch assistant,Education,Education,Education,Education
24,2005,Anthropology,Social Sciences,NA,NA,NA,NA,Gibbs Houston Pauw,Paralegal,Law,Law,Government and Social Services,Government and Social Services
25,2003,Anthropology,Social Sciences,NA,NA,NA,NA,Oregon Department of Fish & Wildlife,Cultural Resources Specialist,Government,Government,Government and Social Services,Government and Social Services
