ID,GRAD_YEAR,AOC_num,AOC,DIVISION,Industry2,Position,Org_Name
1,2011,1,Interdisciplinary,Interdisciplinary,"Business, Finance, and Retail",Apprentice Knowledge Worker,Capgemini Consulting
2,2011,1,Interdisciplinary,Interdisciplinary,"Business, Finance, and Retail",Founder,Cycle.land
3,2008,1,Anthropology,Social Sciences,Arts and Media,Radio Producer,Public Radio Remix from PRX
4,2012,1,Anthropology,Social Sciences,"Business, Finance, and Retail",UK Division Operations & Program Mgmt. Asst.,Chemonics International
5,2009,1,Anthropology,Social Sciences,STEM,"Anthropologist, Research and Strategy",Design Central
6,2009,1,Anthropology,Social Sciences,Health and Medicine,LICSW,Self-Employed Private Practice
7,2013,1,Anthropology,Social Sciences,"Business, Finance, and Retail",Founder,Rachel's Maid for You
8,2002,1,Anthropology,Social Sciences,Arts and Media,NA,"MAC, Rebellion Films"
9,2014,1,Anthropology,Social Sciences,Education,Assoc. Dir. of International & Veteran Admissions,Paul Smith's College
10,2014,1,Anthropology,Social Sciences,Arts and Media,Field Technician,Panamerican Consultants
11,2015,1,Anthropology,Social Sciences,Arts and Media,Field Technician,Archaelogical Consultants Inc.
12,2011,1,Anthropology,Social Sciences,Health and Medicine,Audiologist,HearUSA
13,2015,1,Anthropology,Social Sciences,"Business, Finance, and Retail",Sales and Marketing,eMindful Inc.
14,2013,1,Anthropology,Social Sciences,Government and Social Services,Cultural Resources and Park Planning,National Park Service/Student Conservation Assoc
15,2015,1,Anthropology,Social Sciences,"Business, Finance, and Retail",Busser,The Tides Restaurant
16,2013,1,Anthropology,Social Sciences,"Business, Finance, and Retail",Driver / Operator,Need a Ride Pedicabs
17,2013,1,Anthropology,Social Sciences,Arts and Media,"Write food/drink editorials, try to get them publ",Self Employed
18,2010,1,Anthropology,Social Sciences,Education,Instructor,U. of Florida
19,2006,1,Anthropology,Social Sciences,"Business, Finance, and Retail",Tea Specialist,Unknown
20,2007,1,Anthropology,Social Sciences,Education,Teacher,New College Child Care Center
21,2012,1,Anthropology,Social Sciences,Education,Substitute Teacher,Hillsborough County Public Schools
22,2005,1,Anthropology,Social Sciences,Education,Healthy Out of School Time Manager,Alliance for a Healthier Generation
23,2013,1,Anthropology,Social Sciences,Education,Graduate Teahing Assistant / Resarch assistant,University of Arizona
24,2005,1,Anthropology,Social Sciences,Government and Social Services,Paralegal,Gibbs Houston Pauw
25,2003,1,Anthropology,Social Sciences,Government and Social Services,Cultural Resources Specialist,Oregon Department of Fish & Wildlife
26,2014,1,Anthropology,Social Sciences,Arts and Media,Writer & Creator,Fool and Scholar Productions
27,2012,1,Anthropology,Social Sciences,STEM,Professional Services Manager,OpenGov Inc.
28,2012,1,Anthropology,Social Sciences,Education,Assistant Language Teacher,Kyoto City Board of Education
29,2010,1,Anthropology,Social Sciences,Education,Campus Life Coordinator,New College of Florida
30,2015,1,Anthropology,Social Sciences,Health and Medicine,Doula,Self- Employed
31,2012,1,Anthropology,Social Sciences,"Business, Finance, and Retail",Front of House Assistant,The Top Resturant
32,2009,1,Anthropology,Social Sciences,Education,Extended Day Enrichment Program On-Site Coordinato,Alachua County Public Schools
33,2011,1,Anthropology,Social Sciences,"Business, Finance, and Retail",Corporate Wine Director,McGuire Managment Group
34,2016,1,Anthropology,Social Sciences,Arts and Media,Communications Fellow,ConwayStrategic
35,2008,1,Anthropology,Social Sciences,"Business, Finance, and Retail",Barista,Village Coffee
36,2007,1,Anthropology,Social Sciences,STEM,Technician,Apple
37,2004,1,Anthropology,Social Sciences,Arts and Media,President/Creative Director,Gentlestorm Productions LLC
38,2014,1,Anthropology,Social Sciences,STEM,Project Assistant,"Crafted Earth, INC."
39,2005,1,Anthropology,Social Sciences,Government and Social Services,Publications Manager,Drug Policy Alliance
40,2005,1,Anthropology,Social Sciences,Arts and Media,Sr. Marketing Director,"Sandler, Travis & Rosenberg"
41,2011,1,Anthropology,Social Sciences,Education,Collections Management Assistant,The National September 11 Memorial & Museum
42,2015,1,Anthropology,Social Sciences,Education,NA,The Kindezi Schools
43,2004,1,Anthropology,Social Sciences,Health and Medicine,Licensed Acupunturist,Green Light Acupuncture
44,2007,1,Anthropology,Social Sciences,Other,NA,Unknown
45,2003,1,Anthropology,Social Sciences,Government and Social Services,Associate Lawyer,Hummingbird Law
46,2015,1,Anthropology,Social Sciences,Government and Social Services,Americorps Vista,Americorps
47,2013,1,Anthropology,Social Sciences,"Business, Finance, and Retail",Cashier,Trader Joe's
48,2017,1,Anthropology,Social Sciences,STEM,Greenhouse Coordinator,Sky Vegetables
49,2010,1,Anthropology,Social Sciences,Education,Higher Education professional,unknown
50,2012,1,Anthropology,Social Sciences,STEM,Park Guide,Great Basin Institute
51,2004,1,Anthropology,Social Sciences,"Business, Finance, and Retail",Lead Auctioneer & Fundraising Consultant,EJB Benefit Auctions
52,2014,1,Anthropology,Social Sciences,"Business, Finance, and Retail","Quality Assurance, Scribe",SCF Business Group
53,2005,1,Anthropology,Social Sciences,Education,NA,Island Village Montessori School
