"","ID","GRAD_YEAR","AOC_num","AOC","DIVISION","Industry","Position","Org_Name"
"1",890,2020,"1","Political Science","Social Sciences","Public Health","Latine COVID Outreach Coordinator","Multicultural Health Institute"
"2",890,2020,"2","International and Area Studies","Interdisciplinary","Public Health","Latine COVID Outreach Coordinator","Multicultural Health Institute"
"3",890,2020,"3","Spanish Language and Literature","Humanities","Public Health","Latine COVID Outreach Coordinator","Multicultural Health Institute"
"4",893,2011,"1","Political Science","Social Sciences","Education","Administrative Assistant","South Asia Institute at Columbia University"
"5",893,2011,"2","Anthropology","Social Sciences","Education","Administrative Assistant","South Asia Institute at Columbia University"
"6",67,2007,"1","Environmental Studies","Interdisciplinary","Non Profit","Executive Director","DanceSafe"
"7",67,2007,"2","Anthropology","Social Sciences","Non Profit","Executive Director","DanceSafe"
"8",688,2018,"1","Literature","Humanities","Performing Arts","General Manager","Sarasota Contemporary Dance"
"9",688,2018,"2","Anthropology","Social Sciences","Performing Arts","General Manager","Sarasota Contemporary Dance"
"10",68,2006,"1","Environmental Studies","Interdisciplinary","Retail","Sales","BizBuySell"
"11",68,2006,"2","Anthropology","Social Sciences","Retail","Sales","BizBuySell"
"12",488,2015,"1","Environmental Studies","Interdisciplinary","Education","Educator","Orlando Science Center"
"13",488,2015,"2","Anthropology","Social Sciences","Education","Educator","Orlando Science Center"
"14",487,2014,"1","Environmental Studies","Interdisciplinary","Education",NA,"PhD Candidate in Anthropology"
"15",487,2014,"2","Anthropology","Social Sciences","Education",NA,"PhD Candidate in Anthropology"
"16",66,2006,"1","Classics","Humanities","Education","Education Coordinator","ETSU Museum Studies"
"17",66,2006,"2","Anthropology","Social Sciences","Education","Education Coordinator","ETSU Museum Studies"
"18",735,2015,"1","Medieval & Renaissance Studies","Interdisciplinary","Medicine","Assistant","LVVS"
"19",735,2015,"2","Anthropology","Social Sciences","Medicine","Assistant","LVVS"
"20",81,2003,"1","Humanities","Humanities","Government","Program Analyst","U.S. Department of State"
"21",81,2003,"2","Anthropology","Social Sciences","Government","Program Analyst","U.S. Department of State"
"22",88,2016,"1","Biology","Natural Sciences","Services","Associate","Sage Renewable Energy Consulting"
"23",88,2016,"2","Applied Mathematics","Natural Sciences","Services","Associate","Sage Renewable Energy Consulting"
"24",92,2013,"1","Music","Humanities","Medical","Math Modeller","PharmaCline"
"25",92,2013,"2","Applied Mathematics","Natural Sciences","Medical","Math Modeller","PharmaCline"
"26",90,2012,"1","Computer Science","Natural Sciences","Software","Software Engineer","Google"
"27",90,2012,"2","Applied Mathematics","Natural Sciences","Software","Software Engineer","Google"
"28",216,2011,"1","Biology","Natural Sciences","Law","Researcher","J. Gerard Correa Law Offices"
"29",216,2011,"2","Applied Mathematics","Natural Sciences","Law","Researcher","J. Gerard Correa Law Offices"
"30",114,2012,"1","Art History","Humanities","Education","College Assistant at Zabar Art Library","Hunter College"
"31",114,2012,"2","Art","Humanities","Education","College Assistant at Zabar Art Library","Hunter College"
"32",126,2013,"1","German Language and Literature","Humanities","Non Profit","HR Assistant","Crisis Action"
"33",126,2013,"2","Art History","Humanities","Non Profit","HR Assistant","Crisis Action"
"34",65,2002,"1","Anthropology","Social Sciences","Environmental","Archaeologist/Cultural Resource Specialist","USDA Natural Resources Conservation Service"
"35",65,2002,"2","Art History","Humanities","Environmental","Archaeologist/Cultural Resource Specialist","USDA Natural Resources Conservation Service"
"36",135,2016,"1","Art","Humanities","Educational Services",NA,"TestMasters"
"37",135,2016,"2","Art History","Humanities","Educational Services",NA,"TestMasters"
"38",131,2010,"1","Literature","Humanities","Publishing","Rights Associate (Literary Agent)","Jane Rotosen Agency, LLC"
"39",131,2010,"2","Art History","Humanities","Publishing","Rights Associate (Literary Agent)","Jane Rotosen Agency, LLC"
"40",430,2013,"1","English","Humanities","Education","Operations Manager","USF Health"
"41",430,2013,"2","Art History","Humanities","Education","Operations Manager","USF Health"
"42",133,2019,"1","Art","Humanities","Religion","Youth Advisor","Temple Beth Sholom"
"43",133,2019,"2","Art History","Humanities","Religion","Youth Advisor","Temple Beth Sholom"
"44",571,2012,"1","History","Social Sciences","Education","Teacher","New Gate School"
"45",571,2012,"2","Biology","Natural Sciences","Education","Teacher","New Gate School"
"46",229,2018,"1","Music","Humanities","Farming","Manager of Horticultural Exhibitions","Marie Selby Botanical Gardens"
"47",229,2018,"2","Biology","Natural Sciences","Farming","Manager of Horticultural Exhibitions","Marie Selby Botanical Gardens"
"48",303,2015,"1","Chemistry","Natural Sciences","Food and Lodging","Barista","Starbucks"
"49",303,2015,"2","Biology","Natural Sciences","Food and Lodging","Barista","Starbucks"
"50",301,2015,"1","Chemistry","Natural Sciences","Accounting","Tax Intern","BDO, USA LLP"
"51",301,2015,"2","Biology","Natural Sciences","Accounting","Tax Intern","BDO, USA LLP"
"52",298,2014,"1","Chemistry","Natural Sciences","Education",NA,"Unknown"
"53",298,2014,"2","Biology","Natural Sciences","Education",NA,"Unknown"
"54",296,2013,"1","Chemistry","Natural Sciences","Healthcare","NICU Registered Nurse","Johns Hopkins All Childrens Hospital"
"55",296,2013,"2","Biology","Natural Sciences","Healthcare","NICU Registered Nurse","Johns Hopkins All Childrens Hospital"
"56",292,2002,"1","Chemistry","Natural Sciences","Medical","Physcian","Johns Hopkins Kimmel Cancer Center"
"57",292,2002,"2","Biology","Natural Sciences","Medical","Physcian","Johns Hopkins Kimmel Cancer Center"
"58",304,2017,"1","Chemistry","Natural Sciences","Software","Machine Learning Engineer","Charles Schwab"
"59",304,2017,"2","Biology","Natural Sciences","Software","Machine Learning Engineer","Charles Schwab"
"60",214,2005,"1","Political Science","Social Sciences","Education","Student","Unknown"
"61",214,2005,"2","Biology","Natural Sciences","Education","Student","Unknown"
"62",215,2006,"1","Anthropology","Social Sciences","Healthcare","Epidemologist","U. of Florida Emerging Pathologies Institute"
"63",215,2006,"2","Biology","Natural Sciences","Healthcare","Epidemologist","U. of Florida Emerging Pathologies Institute"
"64",300,2018,"1","Chemistry","Natural Sciences","Government","Pollution Control Inspector","Miami-Dade County"
"65",300,2018,"2","Biology","Natural Sciences","Government","Pollution Control Inspector","Miami-Dade County"
"66",394,2008,"1","Economics","Social Sciences","Psychotherapy","Psychiatrist","James A Haley VA Hospital"
"67",394,2008,"2","Biology","Natural Sciences","Psychotherapy","Psychiatrist","James A Haley VA Hospital"
"68",437,2015,"1","Environmental Studies","Interdisciplinary","Government","Forestry Tecnician","US Forest Service"
"69",437,2015,"2","Biopsychology","Interdisciplinary","Government","Forestry Tecnician","US Forest Service"
"70",305,2015,"1","Interdisciplinary","Interdisciplinary","Information Technology","Lead instructor","ID Tech Camps"
"71",305,2015,"2","Chemistry","Natural Sciences","Information Technology","Lead instructor","ID Tech Camps"
"72",218,2004,"1","Biology","Natural Sciences","Education","Assistant Professor of Biology","New College of Florida"
"73",218,2004,"2","Chemistry","Natural Sciences","Education","Assistant Professor of Biology","New College of Florida"
"74",226,2013,"1","Biology","Natural Sciences","Education","Assoc Instructor of Dev Biology","Indiana University"
"75",226,2013,"2","Chemistry","Natural Sciences","Education","Assoc Instructor of Dev Biology","Indiana University"
"76",832,2009,"1","Physics","Natural Sciences","Software",NA,"Collaborative Drug Discovery"
"77",832,2009,"2","Chemistry","Natural Sciences","Software",NA,"Collaborative Drug Discovery"
"78",225,2020,"1","Biology","Natural Sciences","Dentistry","Administrative Assistant","Florida Affiliated Dental Support, LLC"
"79",225,2020,"2","Chemistry","Natural Sciences","Dentistry","Administrative Assistant","Florida Affiliated Dental Support, LLC"
"80",220,2010,"1","Biology","Natural Sciences","Education","PhD Student","Brown University"
"81",220,2010,"2","Chemistry","Natural Sciences","Education","PhD Student","Brown University"
"82",223,2002,"1","Biology","Natural Sciences","Healthcare Services","Clinical Veterinary Technician","Companion Animal Hospital"
"83",223,2002,"2","Chemistry","Natural Sciences","Healthcare Services","Clinical Veterinary Technician","Companion Animal Hospital"
"84",219,2002,"1","Biology","Natural Sciences","Research","Research Associate (post-doc)","University of Colorado"
"85",219,2002,"2","Chemistry","Natural Sciences","Research","Research Associate (post-doc)","University of Colorado"
"86",649,2017,"1","International and Area Studies","Interdisciplinary","Education",NA,"Unknown"
"87",649,2017,"2","Chinese Language and Culture","Humanities","Education",NA,"Unknown"
"88",338,2015,"1","International and Area Studies","Interdisciplinary","Non Profit","Research Specialist","Behavior Analyst Certification Board"
"89",338,2015,"2","Chinese Language and Culture","Humanities","Non Profit","Research Specialist","Behavior Analyst Certification Board"
"90",310,2020,"1","History","Social Sciences","Law","Legal Assistant","O'Brien & Bennett, P.A."
"91",310,2020,"2","Chinese Language and Culture","Humanities","Law","Legal Assistant","O'Brien & Bennett, P.A."
